Output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Waste_Fraction_57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Waste_Fraction_58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Waste_Fraction_59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Waste_Fraction_60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Process Model Output for SWOLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE: The contents of this table do not include total process emissions.  Emissions associated with transportation and energy are accounted for separately.,,,"Yard Trimmings, Leaves","Yard Trimmings, Grass","Yard Trimmings, Branches",Food Waste - Vegetable,Food Waste - Non-Vegetable,Wood,Wood Other,Textiles,Rubber/Leather,Newsprint,Corr. Cardboard,Office Paper,Magazines ,3rd Class Mail,Folding Containers,Paper Bags ,Mixed Paper,Paper - Non-recyclable,HDPE - Translucent Containers,HDPE - Pigmented Containers,PET - Containers,"Plastic - Other # 1, Polypropylene",Plastic - Other # 2,Mixed Plastic,Plastic Film,Plastic - Non-Recyclable ,Ferrous Cans,Ferrous Metal - Other,Aluminum Cans,Aluminum - Foil,Aluminum - Other,Ferrous - Non-recyclable ,Al - Non-recyclable ,Glass - Brown,Glass - Green,Glass - Clear,Mixed Glass,Glass - Non-recyclable,Misc. Organic,Misc. Inorganic,E-waste,Aerobic Residual,Anaerobic Residual,Bottom Ash,Fly Ash,Diapers and sanitary products,Waste Fraction 47,Waste Fraction 48,Waste Fraction 49,Waste Fraction 50,Waste Fraction 51,Waste Fraction 52,Waste Fraction 53,Waste Fraction 54,Waste Fraction 55,Waste Fraction 56,Waste Fraction 57,Waste Fraction 58,Waste Fraction 59,Waste Fraction 60,,,,,,,,,,,,,,,
Air,"1,4-Butanediol",urban air close to ground,,,,,,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air,1-Pentanol,urban air close to ground,,,,,,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air,1-Pentene,urban air close to ground,,,,,,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
