Mass/Energy/Transportation Flows,,,Materials Requiring Additional Treatment,,,,,,Recovered Fiber,,,,,Recovered Plastic,,,,,,,,,,Recovered Metals,,,Glass,,,,,,Electricity,,Production,Equipment,,,,,,,,Boiler,,,,,,,,,,,,Internal Process Transportation (kg km),,,,,Collection (L/Mg),,,,,Empty Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Waste Fraction,Bottom Ash,Fly Ash,Separated Organics,Other Residual,RDF,Wastewater,OCC,Mixed Paper,ONP,OFF,Other,PET (#1),HDPE-Unsorted (#2),HDPE-P (#2A),HDPE-T (#2B),PVC (#3),LDPE/Film ( #4),Polypropylene (#5),Polystyrene (#6),Other (#7),Mixed Plastic,Al,Fe,Cu,Brown,Clear,Green,Mixed Glass,Capital Costs,Amortized Operating Cost,Production,Consumption,Heat/ Steam,Diesel,Gasoline,LPG,CNG,Residual Fuel Oil,Distillate,Kerosene,Petroleum/Crude Oil,Diesel,Gasoline,LPG,CNG,Residual Fuel Oil,Distillate,Kerosene,Petroleum/Crude Oil,Coke,Bitumen,Coal,Wood,Heavy Duty Diesel Truck,Medium Duty Diesel Truck,Barge,Cargo Ship,Rail,Diesel,CNG,Biodiesel,Gasoline Passenger Vehicle,Other,Heavy Duty Diesel Truck,Medium Duty Diesel Truck,LF_Emission_Material_used,Other 2,Other 3,Other 4,Other 5,Other 6,Other 7,Other 8,Other 9,Other 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mixed Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.67,192.36,8.87,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Paper - Non-recyclable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.74,259.29,9.95,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HDPE - Translucent Containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,0.00,0.63,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HDPE - Pigmented Containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,0.00,0.63,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PET - Containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,0.00,0.63,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Plastic - Other # 1, Polypropylene",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,0.00,0.63,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Plastic - Other # 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,0.00,0.63,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mixed Plastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,0.00,0.63,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Plastic Film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,0.00,0.63,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Plastic - Non-Recyclable ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,0.00,0.63,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
